nutrient,food
脂肪,"['香腸', '鯖魚', '腰果', '豬肉']"
蛋白質,"['牛排', '干貝', '豬蹄筋', '黃豆', '青豆']"
鈉,"[ '榨菜', '梅干菜', '雪裡蕻', '牛排','香腸']"
鈣,"[ '髮菜', '起司', '奶酪',  '素雞', '豆干']"
鉀,"['秋葵', '枸杞', '蓮藕', '菠菜']"
維生素A,"[ '豬肝', '秋葵', '枸杞', '蓮藕','紫菜', '牛排']"
維生素B1,"[ '排骨', '豬排', '黑芝麻', '香腸', '紫菜', '豌豆', '黃豆']"
維生素B2,"['豬肝', '紫菜',  '乾香菇',  '鵪鶉蛋', '豬心']"
維生素B6,"['玉米片', '雞翅', '韭菜', '胡蘿蔔', '沙丁魚', '雞腿']"
維生素B12,"['沙丁魚', '玉米片', '豬皮', '臘肉']"
維生素C,"['秋葵', '青椒', '苦瓜', '蓮藕', '香菜', '蘆筍']"
維生素D,['蠶蛹']
維生素E,"['油豆腐', '黃豆', '豆皮',  '紅豆',  '木耳', '綠豆']"
維生素K,[]
鉻,[]
銅,"['鵝肝', '雞胗',  '紫菜', '螃蟹', '腰果']"
鋅,"['牛排', '香腸', '起司', '羊肉']"
鐵,"[ '髮菜', '紫菜', '梅干菜', '鴨血', '牛排', '豬肝']"
磷,"['牛排',  '蓮子', '蘿蔔', '芝麻','黃豆']"
鎂,"[ '黑芝麻', '芝麻', '杏仁', '蓮子', '豆豉']"
錳,"[ '梅干菜', '木耳', '竹笙', '蓮子', '髮菜', '豆豉']"
